Report Name: LNDEMO_EQ_ASIA_ESG_ATTR_BRINSON,,,,,,,,,,,,,,
Portfolio: LPDEMO_ASIA_ESG,,,,,,,,,,,,,,
Benchmark: MXAP,,,,,,,,,,,,,,
Run Date: 07/22/2020,,,,,,,,,,,,,,
Period: 12/31/2019 - 07/21/2020,,,,,,,,,,,,,,
Base Currency: USD,,,,,,,,,,,,,,
Classification: BICS Sector,,,,,,,,,,,,,,
Level,Name,Avg % Wgt[P],Avg % Wgt[B],Avg % Wgt[D],CTR[P],CTR[B],CTR[D],Tot Rtn[P],Tot Rtn[B],Tot Rtn[D],Tot Attr,Alloc,Selec,Curr
2,600688 C1,,0.00225099,-0.00225099,,-0.00010365,0.00010365,,-0.40036039,0.40036039,0.00016143,,0.00013884,0.00002258
2,600782 C1,,0.00099304,-0.00099304,,-0.00035502,0.00035502,,-22.47016444,22.47016444,0.00037318,,0.0003389,0.00003428
2,600808 C1,,0.00151676,-0.00151676,,-0.00016382,0.00016382,,-7.53779379,7.53779379,0.00018671,,0.00017539,0.00001132
2,601216 C1,,0.00219185,-0.00219185,,0.00060826,-0.00060826,,32.088227,-32.088227,-0.00111376,,-0.00112931,0.00001555
2,601600 C1,,0.00373271,-0.00373271,,-0.00023157,0.00023157,,-3.49526438,3.49526438,0.00042831,,0.00040364,0.00002467
2,601899 C1,,0.00779455,-0.00779455,,0.0019429,-0.0019429,,25.55561447,-25.55561447,-0.00338093,,-0.00339418,0.00001325
2,601958 C1,,0.00163977,-0.00163977,,-0.00030353,0.00030353,,-14.07942053,14.07942053,0.00051839,,0.00050746,0.00001093
2,603077 C1,,0.00093322,-0.00093322,,-0.00021117,0.00021117,,-13.71493211,13.71493211,0.0001151,,0.00008279,0.00003231
2,603659 C1,,0.00100724,-0.00100724,,0.00087174,-0.00087174,,25.81243119,-25.81243119,-0.00086222,,-0.00077809,-0.00008413
2,603799 C1,,0.00393345,-0.00393345,,0.00008791,-0.00008791,,6.45201397,-6.45201397,-0.0005426,,-0.00056402,0.00002142
2,603993 C1,,0.00648227,-0.00648227,,-0.00008525,0.00008525,,3.07777177,-3.07777177,-0.00020806,,-0.00024629,0.00003823
2,6988 JP,0.47019753,0.0899322,0.38026533,0.03476641,0.00561512,0.02915128,4.08095145,4.08095145,0,0.02125978,,0.01472751,0.00653227
2,APNT IN,,0.07329426,-0.07329426,,-0.00856533,0.00856533,,-7.38863793,7.38863793,0.0068082,,0.00306181,0.0037464
2,AWC AU,,0.02381976,-0.02381976,,-0.01572795,0.01572795,,-37.28726168,37.28726168,0.01970928,,0.01730614,0.00240314
2,BHP AU,,0.73925413,-0.73925413,,0.05142351,-0.05142351,,3.77010537,-3.77010537,-0.11165498,,-0.09558612,-0.01606886
2,BRGR IN,,0.01753542,-0.01753542,,-0.0011829,0.0011829,,-3.86585346,3.86585346,-0.0003084,,-0.00117079,0.00086239
2,BRPT IJ,,0.02278422,-0.02278422,,-0.00620893,0.00620893,,-24.54973266,24.54973266,0.0107836,,0.01106366,-0.00028006
2,BSL AU,,0.04333341,-0.04333341,,-0.01255813,0.01255813,,-22.13027353,22.13027353,0.01700301,,0.0164569,0.00054611
2,EVN AU,,0.01715343,-0.01715343,,0.00811936,-0.00811936,,11.98658671,-11.98658671,0.0058277,,0.01069937,-0.00487167
2,FMG AU,,0.12965692,-0.12965692,,0.08508145,-0.08508145,,71.45356076,-71.45356076,-0.14353787,,-0.13554651,-0.00799136
2,HNDL IN,,0.02561635,-0.02561635,,-0.01196993,0.01196993,,-29.31395827,29.31395827,0.0170864,,0.01602068,0.00106572
2,INKP IJ,,0.01217877,-0.01217877,,-0.00052241,0.00052241,,-0.64608055,0.64608055,-0.00002716,,-0.00051444,0.00048728
2,IPL AU,0.31264582,0.02196625,0.29067957,-0.16634157,-0.01583932,-0.15050225,-39.90704889,-40.31260547,0.40555658,-0.11873806,,-0.11587311,-0.00286496
2,IRPC TB,,0.01063043,-0.01063043,,-0.00328184,0.00328184,,-26.42308626,26.42308626,0.00538644,,0.0048652,0.00052124
2,IVL TB,,0.01607522,-0.01607522,,-0.00386285,0.00386285,,-22.02655814,22.02655814,0.00513326,,0.00448406,0.0006492
2,JSTL IN,,0.02595746,-0.02595746,,-0.01036898,0.01036898,,-24.99319323,24.99319323,0.01361657,,0.01232993,0.00128664
2,NCM AU,,0.16554505,-0.16554505,,0.02853584,-0.02853584,,13.09109693,-13.09109693,-0.04627739,,-0.04125974,-0.00501765
2,NST AU,,0.01907685,-0.01907685,,0.01072856,-0.01072856,,14.59578025,-14.59578025,0.0029802,,0.00830966,-0.00532946
2,PCHEM MK,,0.03675388,-0.03675388,,-0.00729391,0.00729391,,-17.83149201,17.83149201,0.00857417,,0.00727502,0.00129915
2,PMAH MK,,0.01564387,-0.01564387,,-0.00130331,0.00130331,,-3.35076221,3.35076221,-0.00108576,,-0.00180883,0.00072308
2,PTTGC TB,,0.03401777,-0.03401777,,-0.00469149,0.00469149,,-14.15988984,14.15988984,0.00470867,,0.00312202,0.00158665
2,RIO AU,2.52139726,0.25169556,2.2697017,0.37666196,0.03342123,0.34324073,11.06346047,11.06346047,0,0.30760581,,0.24264944,0.06495637
2,S32 AU,,0.07810001,-0.07810001,,-0.01639801,0.01639801,,-16.43030381,16.43030381,0.02351356,,0.02288681,0.00062675
2,TATA IN,,0.01804808,-0.01804808,,-0.00726338,0.00726338,,-27.34645852,27.34645852,0.01080713,,0.0099517,0.00085543
2,TKIM IJ,,0.00534019,-0.00534019,,-0.00747006,0.00747006,,-63.28647012,63.28647012,0.01182287,,0.01146048,0.00036239
2,UPLL IN,,0.03446123,-0.03446123,,-0.01469388,0.01469388,,-25.10910626,25.10910626,0.01853784,,0.01688045,0.00165739
2,VEDL IN,,0.02920772,-0.02920772,,-0.01287122,0.01287122,,-28.2850455,28.2850455,0.01758211,,0.01631751,0.0012646
1,Communications,3.18546143,15.42278939,-12.23732796,-0.47722072,3.86621487,-4.34343559,-13.87660259,24.66816615,-38.54476875,-3.85432462,-2.67731472,-1.12232909,-0.05468081
2,000063 C2,,0.01479216,-0.01479216,,0.0006967,-0.0006967,,15.33182351,-15.33182351,0.00039996,,0.00029884,0.00010112
2,000839 C2,,0.00092796,-0.00092796,,-0.00048332,0.00048332,,-33.35951198,33.35951198,0.00013041,,0.0001001,0.00003031
2,002027 C2,,0.0072285,-0.0072285,,-0.00040383,0.00040383,,-2.27363058,2.27363058,0.00045079,,0.00043019,0.00002059
2,002127 C2,,0.00332776,-0.00332776,,0.0024685,-0.0024685,,92.71709089,-92.71709089,-0.00032115,,-0.00030636,-0.00001479
2,002131 C2,,0.00059966,-0.00059966,,-0.00023476,0.00023476,,-9.40198154,9.40198154,0.00008087,,0.00012836,-0.00004749
2,002396 C2,,0.00046603,-0.00046603,,0.00013723,-0.00013723,,7.68261903,-7.68261903,0.00000446,,0.00004333,-0.00003887
2,002465 C2,,0.00266341,-0.00266341,,0.00053688,-0.00053688,,28.00127121,-28.00127121,0.00001368,,-0.0000073,0.00002098
2,002583 C2,,0.00096179,-0.00096179,,-0.00044901,0.00044901,,-26.39559703,26.39559703,0.00012343,,0.00008866,0.00003477
2,006400 KS,,0.15331623,-0.15331623,,0.06825608,-0.06825608,,58.32869894,-58.32869894,-0.00463748,,-0.00801688,0.0033794
2,017670 KS,,0.03906784,-0.03906784,,-0.00572208,0.00572208,,-12.15359609,12.15359609,0.00409849,,0.00252809,0.0015704
2,030000 KS,,0.01154551,-0.01154551,,-0.00432224,0.00432224,,-27.53591605,27.53591605,0.00175227,,0.00132264,0.00042963
2,032500 KS,,0.01353213,-0.01353213,,0.00464386,-0.00464386,,34.71914275,-34.71914275,0.00001612,,-0.00031677,0.00033289
2,032640 KS,,0.02124254,-0.02124254,,-0.00349344,0.00349344,,-17.38695794,17.38695794,0.00199337,,0.00159172,0.00040166
2,035420 KS,,0.24995424,-0.24995424,,0.09518127,-0.09518127,,39.78018436,-39.78018436,-0.00094287,,-0.00805411,0.00711124
2,035720 KS,,0.09798752,-0.09798752,,0.07675869,-0.07675869,,98.76475775,-98.76475775,-0.00856691,,-0.00987148,0.00130457
2,036570 KS,,0.1065927,-0.1065927,,0.04536688,-0.04536688,,53.30509184,-53.30509184,-0.00251614,,-0.0049809,0.00246476
2,1810 HK,,0.16564073,-0.16564073,,0.07305436,-0.07305436,,54.80343498,-54.80343498,-0.00620815,,-0.00531111,-0.00089704
2,2345 TT,,0.03591594,-0.03591594,,0.0147941,-0.0147941,,46.54320928,-46.54320928,-0.00184346,,-0.00114665,-0.00069681
2,2371 JP,,0.03487635,-0.03487635,,0.00144411,-0.00144411,,3.70152792,-3.70152792,0.00111809,,0.00138203,-0.00026394
2,2412 TT,,0.15340236,-0.15340236,,0.00925958,-0.00925958,,5.50371644,-5.50371644,0.00280325,,0.00529948,-0.00249623
2,2413 JP,,0.16546678,-0.16546678,,0.08899096,-0.08899096,,55.45522165,-55.45522165,-0.00977072,,-0.007854,-0.00191672
2,2433 JP,,0.03065619,-0.03065619,,-0.01064397,0.01064397,,-29.29066393,29.29066393,0.00332408,,0.00372353,-0.00039945
2,300017 C2,,0.00201524,-0.00201524,,-0.00020221,0.00020221,,-4.85724907,4.85724907,0.00012568,,0.00011766,0.00000802
2,300033 C2,,0.00609588,-0.00609588,,0.00182672,-0.00182672,,37.90934613,-37.90934613,-0.00006343,,-0.00007787,0.00001443
2,300136 C2,,0.00400994,-0.00400994,,0.0005422,-0.0005422,,17.54041135,-17.54041135,0.00009083,,0.00008553,0.00000529
2,300418 C2,,0.000636,-0.000636,,0.00054521,-0.00054521,,24.6677816,-24.6677816,-0.0000514,,-0.00000078,-0.00005062
2,300628 C2,,0.00429498,-0.00429498,,0.00108039,-0.00108039,,36.14488182,-36.14488182,-0.00004262,,-0.00006289,0.00002027
2,3045 TT,,0.06442031,-0.06442031,,0.00087768,-0.00087768,,1.01109634,-1.01109634,0.00188397,,0.00289259,-0.00100862
2,3064 JP,,0.04244187,-0.04244187,,0.02221071,-0.02221071,,54.36591968,-54.36591968,-0.00217844,,-0.0020343,-0.00014415
2,3092 JP,,0.02082428,-0.02082428,,0.00777229,-0.00777229,,30.65510867,-30.65510867,-0.00041736,,-0.00013025,-0.00028711
2,3690 HK,,0.32594198,-0.32594198,,0.34950019,-0.34950019,,102.2418098,-102.2418098,-0.03373279,,-0.03299688,-0.00073591
2,3938 JP,,0.03267916,-0.03267916,,0.00129543,-0.00129543,,4.69584534,-4.69584534,0.00085677,,0.00119534,-0.00033857
2,4324 JP,,0.05982042,-0.05982042,,-0.02280713,0.02280713,,-29.91553001,29.91553001,0.00685997,,0.00775404,-0.00089408
2,4385 JP,,0.02102451,-0.02102451,,0.01837531,-0.01837531,,101.4920103,-101.4920103,-0.00254831,,-0.00210816,-0.00044014
2,4689 JP,,0.11599309,-0.11599309,,0.02392649,-0.02392649,,19.41998322,-19.41998322,-0.00013704,,0.00158007,-0.0017171
2,4704 JP,,0.07248774,-0.07248774,,0.01133977,-0.01133977,,14.54416304,-14.54416304,0.00012227,,0.00163037,-0.0015081
2,4751 JP,,0.0465235,-0.0465235,,0.02471828,-0.02471828,,63.07542193,-63.07542193,-0.00300076,,-0.00243371,-0.00056705
